model,cv_accuracy,cv_f1_macro,cv_recall_macro
SVM_C=2.0,0.9925814241059072,0.9918910216522823,0.9919460328834842
SVM_C=1.0,0.9924507673539287,0.9918067412059786,0.9919052829057098
SVM_C=0.5,0.9921604104688274,0.9914885089884022,0.9915503495790488
LogReg_C=5.0,0.9908247647929771,0.9899275973412746,0.9903031314003998
LogReg_C=1.0,0.9871808041681346,0.9857312699768986,0.9868865163262525
RF_max_depth=None_n_estimators=300,0.9848434184395763,0.9831931024899447,0.9797995181975019
RF_max_depth=None_n_estimators=200,0.984886970338974,0.9830763167697167,0.9796520967804014
RF_max_depth=30_n_estimators=300,0.9690045308138251,0.9631336713812273,0.9692665248099364
LogReg_C=0.1,0.9647362771209604,0.9589171681811779,0.964126180830719
